,name,address,kurtosis_oxygen,occupation,pregnant,education-num,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss,workclass
0,Daniel Love,"126 Ramirez Roads
New Jayville, IL 18861",10.58036423, Sales,f,9.0,3.158829791,85.859375,14.12112664,0.0,136.8835851,0.837685965,"White|United-States
HS-grad -- Married-civ-spouse|Husband",277647.0,0.0,35.06260793, >50K,1.857859532,40.0,1902.0, Private
1,Roy Paradis,"01168 Stark Pine Apt. 583
Davidville, IN 32044",3.713364594, Craft-repair,f,9.0,1.234183818,91.6796875,36.94629109,0.0,12.86906208,0.563702911,"White|United-States
HS-grad -- Married-civ-spouse|Husband",170721.0,0.0,39.71400367, <=50K,10.00167224,40.0,2002.0, Self-emp-not-inc
2,Charles Chen,"09482 Horne Lakes Apt. 373
East Brian, TN 26892",6.478064004, Handlers-cleaners,f,9.0,1.872355442,89.9609375,22.64698048,0.0,46.29338626,0.690419096,"White|United-States
HS-grad -- Married-civ-spouse|Husband",177951.0,0.0,38.57630473, <=50K,4.134615385,48.0,0.0, Private
3,Chester Holmes,"720 Harris Turnpike Suite 732
East Sierra, CO 04774",??, Sales,f,10.0,0.395582799,,14.00175902,0.0,139.59687649999998,0.38521860799999996,"White|United-States
Some-college -- Married-civ-spouse|Husband",33975.0,0.0,45.31603434, >50K,1.8494983280000001,40.0,0.0, Private
4,James Ayala,"Unit 3230 Box 9523
DPO AA 55810",, Transport-moving,f,9.0,0.49338377899999997,94.59375,29.3619525,0.0,30.309902,0.332061724,"Amer-Indian-Eskimo|United-States
HS-grad -- Married-civ-spouse|Husband",112627.0,0.0,47.99242087, <=50K,5.739130435,40.0,0.0, Private
5,Todd Flanagan,"2167 Wells Shoals Apt. 264
East Brianshire, RI 40818",6.384963147000001, ?,f,9.0,-0.303184627,125.7421875,29.66452882,0.0,41.36215101,0.19700455100000008,"White|United-States
HS-grad -- Married-civ-spouse|Own-child",146651.0,0.0,55.70208789, <=50K,4.951505017,15.0,0.0, ?
6,Craig Solomon,"PSC 7142, Box 7999
APO AA 51659",9.046560192000001, Sales,f,10.0,0.191145593,,15.94146313,0.0,96.53460332,0.38566801799999995,"White|United-States
Some-college -- Never-married|Own-child",97189.0,0.0,47.7939813, <=50K,2.176421405,,0.0, Private
7,James Huffman,"535 Michael Squares
North Sara, ID 61368",8.938092965, Sales,f,10.0,0.09135599300000001,145.8359375,19.44072785,0.0,87.65337627,-0.095527048,"White|United-States
Some-college -- Divorced|Not-in-family",50132.0,0.0,44.07659834, <=50K,2.637123746,50.0,0.0, Private
8,Gary Prentice,"055 Nolan Club
West Bryanton, UT 15308",5.155939859, ?,f,12.0,0.046797173,138.1796875,31.57634673,0.0,26.14331017,-0.031852329,"White|United-States
Assoc-acdm -- Divorced|Unmarried",117525.0,0.0,51.5244835, <=50K,6.330267559,1.0,0.0, ?
9,Rodger Riis,"7719 Frances Drives Apt. 525
West Brandonstad, VT 96574",2.436555082, Sales,f,10.0,-0.797074657,129.9765625,56.6611579,0.0,4.4824485769999995,0.011253328,"White|United-States
Some-college -- Never-married|Own-child",454934.0,0.0,57.19640844, <=50K,22.03846154,35.0,0.0, Self-emp-inc
10,Robert Cabiness,"70838 Robbins Camp Suite 853
Jacobville, SC 59340",14.38934822, Sales,f,9.0,1.035746678,107.578125,11.79730542,0.0,240.32610010000002,0.321174848,"White|United-States
HS-grad -- Never-married|Own-child",156084.0,0.0,45.01121551, <=50K,1.0025083609999998,40.0,0.0, Private
11,John Brehmer,"019 Donna Mountains
Alyssaside, NC 78687",8.508906253, Adm-clerical,f,9.0,-0.362887301,125.40625,19.29896102,0.0,85.84704040000003,0.329295662,"Black|United-States
HS-grad -- Separated|Unmarried",46366.0,0.0,52.68960368, <=50K,3.076086957,40.0,0.0, Federal-gov
12,William West,"692 Tiffany Cape Suite 776
New Stacey, OK 93653",10.30903207, Exec-managerial,f,10.0,0.0955331,117.390625,15.48100539,0.0,127.45552099999999,0.315378522,"White|United-States
Some-college -- Married-civ-spouse|Husband",269323.0,0.0,48.75548597, >50K,2.12541806,40.0,0.0, Private
13,Thomas Rathburn,"708 Rodgers Streets Suite 909
Vanessamouth, NC 53062",8.620895914, Craft-repair,f,9.0,-0.68568066,,19.80252837,0.0,83.01771137,0.06644035200000001,"White|United-States
HS-grad -- Married-civ-spouse|Husband",188571.0,0.0,61.80434729, <=50K,2.9816053510000002,40.0,0.0, Private
14,Steven Welch,"4017 Christopher Fort Suite 454
Hurleyville, WA 41904",6.241462914, Craft-repair,f,9.0,0.440195082,125.3828125,33.31692051,0.0,37.20804021,0.38978846100000003,"White|United-States
HS-grad -- Married-civ-spouse|Husband",48413.0,0.0,43.49858494, <=50K,5.237458193999999,40.0,0.0, Private
15,Leon Fleming,"2351 Brian Route Suite 878
Port Richard, SC 66708",-0.219283809, Craft-repair,f,10.0,19.33037447,35.6640625,85.58128285,0.0,-1.300538953,3.9776425989999997,"White|United-States
Some-college -- Divorced|Not-in-family",125461.0,1.0,35.04735131, >50K,126.1697324,40.0,0.0, Private
16,Jake Pearce,"1633 Sanders Club
South Timothymouth, LA 30038",8.520990655, Farming-fishing,f,10.0,1.590113963,110.2265625,17.17047093,0.0,85.42592747,0.205310999,"White|United-States
Some-college -- Never-married|Own-child",154410.0,1.0,39.06169296, <=50K,2.513377926,40.0,0.0, State-gov
